,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Total Assets,16726194000.0,16970285000.0,14402343000.0,12814136000.0
Total Non Current Assets,13697941000.0,13976742000.0,11714302000.0,9568785000.0
Other Non Current Assets,22645000.0,33187000.0,41718000.0,34338000.0
Non Current Prepaid Assets,2392928000.0,2329201000.0,1833980000.0,2148156000.0
Non Current Deferred Assets,155000.0,77251000.0,75799000.0,53563000.0
Non Current Deferred Taxes Assets,155000.0,77251000.0,75799000.0,53563000.0
Non Current Accounts Receivable,14077000.0,53107000.0,72976000.0,318404000.0
Financial Assets,0.0,13006000.0,109124000.0,116283000.0
Investments And Advances,142636000.0,19305000.0,82326000.0,190645000.0
Other Investments,,,,992000.0
Investmentin Financial Assets,142636000.0,19305000.0,82326000.0,189830000.0
Available For Sale Securities,142636000.0,19305000.0,82326000.0,189830000.0
Long Term Equity Investment,,,0.0,815000.0
Goodwill And Other Intangible Assets,1937800000.0,1862989000.0,1823209000.0,1747108000.0
Other Intangible Assets,1395498000.0,1320687000.0,1280907000.0,1204806000.0
Goodwill,542302000.0,542302000.0,542302000.0,542302000.0
Net PPE,9187700000.0,9588696000.0,7675170000.0,4960288000.0
Accumulated Depreciation,-7291294000.0,-6933578000.0,-5750385000.0,-4955176000.0
Gross PPE,16478994000.0,16522274000.0,13425555000.0,9915464000.0
Leases,,,,183351000.0
Construction In Progress,535223000.0,487517000.0,514429000.0,193929000.0
Other Properties,450628000.0,439751000.0,212164000.0,211218000.0
Machinery Furniture Equipment,15493143000.0,15595006000.0,12698962000.0,9510317000.0
Buildings And Improvements,,,,183351000.0
Properties,,,,0.0
Current Assets,3028253000.0,2993543000.0,2688041000.0,3245351000.0
Other Current Assets,304385000.0,199446000.0,147299000.0,144822000.0
Hedging Assets Current,810000.0,16250000.0,4936000.0,12526000.0
Restricted Cash,,,,355769000.0
Prepaid Assets,735585000.0,729637000.0,461526000.0,318769000.0
Inventory,357291000.0,392153000.0,269585000.0,195638000.0
Raw Materials,357291000.0,392153000.0,222055000.0,195638000.0
Receivables,990353000.0,1082909000.0,1027074000.0,926654000.0
Taxes Receivable,165157000.0,195175000.0,176391000.0,186955000.0
Accounts Receivable,825196000.0,887734000.0,850683000.0,739699000.0
Allowance For Doubtful Accounts Receivable,-19162000.0,-22548000.0,-19280000.0,-18047000.0
Gross Accounts Receivable,844358000.0,910282000.0,869963000.0,757746000.0
Cash Cash Equivalents And Short Term Investments,639829000.0,573148000.0,777621000.0,1646942000.0
Other Short Term Investments,315901000.0,404113000.0,291363000.0,984112000.0
Cash And Cash Equivalents,323928000.0,169035000.0,486258000.0,662830000.0
Cash Equivalents,36049000.0,47375000.0,370135000.0,234018000.0
Cash Financial,287879000.0,121660000.0,116123000.0,428812000.0
